Graphite 3.0.11

Simulation (Host) Timers: 
Start Time (in microseconds)       193708119
Stop Time (in microseconds)        20073582899
Shutdown Time (in microseconds)    20075817552
                                                               | Tile 0          | Tile 1          | Tile 2          | Tile 3          | Tile 4          | Tile 5          | Tile 6          | Tile 7          | Tile 8          | Tile 9          | Tile 10         | Tile 11         | Tile 12         | Tile 13         | Tile 14         | Tile 15         | Tile 16         | Tile 17         | Tile 18         | Tile 19         | Tile 20         | Tile 21         | Tile 22         | Tile 23         | Tile 24         | Tile 25         | Tile 26         | Tile 27         | Tile 28         | Tile 29         | Tile 30         | Tile 31         | Tile 32         | Tile 33         | Tile 34         | Tile 35         | Tile 36         | Tile 37         | Tile 38         | Tile 39         | Tile 40         | Tile 41         | Tile 42         | Tile 43         | Tile 44         | Tile 45         | Tile 46         | Tile 47         | Tile 48         | Tile 49         | Tile 50         | Tile 51         | Tile 52         | Tile 53         | Tile 54         | Tile 55         | Tile 56         | Tile 57         | Tile 58         | Tile 59         | Tile 60         | Tile 61         | Tile 62         | Tile 63         | 
Core Summary                                                   |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 | 
    Total Instructions                                         |  3082234331     |  2979340784     |  2999818224     |  3011518500     |  3011527019     |  2999819226     |  2979327564     |  2947150601     |  2979335388     |  3011519980     |  3031999853     |  3040791935     |  3040796464     |  3029095887     |  3011519216     |  2976424609     |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              | 
    Completion Time (in nanoseconds)                           |  11283694224    |  11283683717    |  11283684059    |  11283680654    |  11283684359    |  11283685895    |  11283684975    |  11283686281    |  11283682416    |  11283685790    |  11283681048    |  11283686414    |  11283683207    |  11283682931    |  11283684511    |  11283685071    |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              | 
    Average Frequency (in GHz)                                 |  1              |  1              |  1              |  1              |  1              |  1              |  1              |  1              |  1              |  1              |  1              |  1              |  1              |  1              |  1              |  1              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              | 
    Synchronization Stalls                                     |  3              |  4              |  5              |  6              |  6              |  6              |  4              |  4              |  3              |  10             |  11             |  8              |  10             |  8              |  5              |  7              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              | 
    Network Recv Stalls                                        |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              | 
    Stall Time Breakdown (in nanoseconds)                      |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 | 
      Memory                                                   |  9400282314     |  9123835430     |  9112812756     |  9108571101     |  9107791172     |  9113667101     |  9127777810     |  9141772752     |  9126121004     |  9109008107     |  9096151275     |  9085441609     |  9083918602     |  9090191036     |  9110283485     |  9121508076     |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              | 
      Execution Unit                                           |  1874434341     |  1824642880     |  1837048655     |  1844034103     |  1844177350     |  1836980857     |  1824422954     |  1804967069     |  1824549764     |  1844054322     |  1856578141     |  1862081560     |  1862160137     |  1855092533     |  1844044049     |  1823025740     |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              | 
      Synchronization                                          |  8977569        |  5861186        |  4478422        |  1731208        |  2371590        |  3693685        |  2139954        |  7602198        |  3667381        |  1279089        |  1607355        |  6818963        |  8260181        |  9055070        |  12680          |  9806953        |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              | 
